web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,image,image2,image3,image4,position,name
1779545240-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Siempre regreso 💚,Karina C,"Muy rica comida y smothies, después de yoga siempre paso por acá. La atención de las chicas es muy buena, siempre atentas!",Muchíísimas gracias por elegirnos siempre 🥹💜💜💜,"Providencia, Chile",Escrita el 26 de noviembre de 2024,Escrita el 26 de noviembre de 2024,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/37/68/84/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/4f/d6/bb/karina-c.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,17,Almalibre Açaí House
1779545240-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,El mejor café de Madrid,Voyager05514618276,"El mejor lugar en chueca para tomar un café o una merienda bien completa y saludable. 
Los productos son muy frescos y de la mejor calidad.
Además hay q destacar las personas que trabajan ahi, tienen una calidez y trato hacia el cliente que son únicas! 
Si quieres un día impresionante, tienes que venir a este lugar!!",Ohh 🥹 muchas gracias por tus palabras 🫂💜,2 contribuciones,Escrita el 26 de noviembre de 2024,Escrita el 26 de noviembre de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,2,Almalibre Açaí House
1779545240-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Agradable,Eleonora E,"Es un lugar tranquilo y cálido, el servicio muy agradable, atento nos pasamos un tiempo agradable y la comida bien hecha y muy rica",Muchíísimas gracias por venir y por dejarnos esta reseña 💜💜💜,2 contribuciones,Escrita el 26 de noviembre de 2024,Escrita el 26 de noviembre de 2024,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,2,Almalibre Açaí House
1779545240-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Volveré siempre.,Emiliana S,Comí una tostada de hummus de garbanzos increíble. Volví al otro día y probé la que lleva aguacate... una mejor que la otra. Las chicas que atienden son muy amables. Lo recomiendo.,Muchas muchas gracias por venir 💜💜,3 contribuciones,Escrita el 22 de noviembre de 2024,Escrita el 26 de noviembre de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/30/74/7e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/30/74/7f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,3,Almalibre Açaí House
1779545240-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Todo Increíble!,celia,"He venido muchas veces y nunca me canso. Toda la carta que tienen desde el açai, hasta el brunch salado y dulce, etc. El trato y el servicio es muy bueno, especialmente Michelle. Super recomendado si estás por esta zona de Madrid!!! 🌱💖",Ohhh 💜🥹 Muchas gracias por venir!!!,1 contribución,Escrita el 22 de noviembre de 2024,Escrita el 26 de noviembre de 2024,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2f/e9/f4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2f/e9/f5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2f/ea/b5/celia-g.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,1,Almalibre Açaí House
1779545240-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,¡Maravilloso rollo!,Howard C,"Maravillosa comida, escandalosos cuencos de açaí, personal maravilloso y vibraciones! Estuvimos aquí la semana pasada, hoy y volveremos de nuevo para el desayuno mañana.",Thank you so much for your visit 🥹💜💜💜,1 contribución,Escrita el 17 de noviembre de 2024,Escrita el 26 de noviembre de 2024,Traducir respuesta,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,1,Almalibre Açaí House
1779545240-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Un Açai delicioso,Jaime F,"Mi novia y yo pedimos açai, con granola de Better, platano y crema de cacahuete, estaba delicioso. ¡Volveremos seguro!",Muchas gracias por venir!!! Los esperamos pronto 💜,10 contribuciones,Escrita el 17 de noviembre de 2024,Escrita el 26 de noviembre de 2024,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,10,Almalibre Açaí House
1779545240-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Muy recomendable!,Jennifer C,Almalibre era un gran lugar para el brunch en Madrid. La comida y el servicio eran excelentes! Sin duda volvería!,Thank you so much 🥹💜💜💜💜,3 contribuciones,Escrita el 16 de noviembre de 2024,Escrita el 26 de noviembre de 2024,Traducir respuesta,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/9e/avatar069.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,3,Almalibre Açaí House
1779545240-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,¡Grandes tazones Acai en Chueca!,julia13travels,"Me encanta este lugar! El interior es super lindo y los cuencos de acai son muy buenos! Puedes personalizar los toppings, que es muy agradable. Sin duda recomendaría visitar si estás en Madrid. El barrio en el que está es super lindo también! Sin duda merece la pena una visita!",Thank you so much 🥹💜🫂,"Boston, Massachusetts",Escrita el 15 de noviembre de 2024,Escrita el 26 de noviembre de 2024,Traducir respuesta,Calidad/precio,Comida,Servicio,Ambiente,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/15/c6/17/julia13travels.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,37,Almalibre Açaí House
1779545240-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Volvería,Isa G,"Todo riquiiisimo, repetiría sin dudarlo. 22 euros 2 perdonas, lo indicado en la foto y 2 cafés mas
 La chica era súper maja",Muchas gracias por venir!!!!,1 contribución,Escrita el 2 de noviembre de 2024,Escrita el 26 de noviembre de 2024,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,1,Almalibre Açaí House
1779545240-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Muy sabroso açaí y desayuno,Люба Я,Fue un açaí muy sabroso y una tostada de aguacate increíble! Realmente recomiendo este bonito lugar para el desayuno. Tuve un buen tiempo allí!,Thank you so much 💜🫂,3 contribuciones,Escrita el 19 de octubre de 2024,Escrita el 22 de octubre de 2024,Traducir respuesta,Calidad/precio,Comida,Servicio,Ambiente,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,3,Almalibre Açaí House
